time,"I(LIP|XI3|XN_05_)"
4.940000e-11,-2.498285e-07
4.960000e-11,-2.489617e-07
4.980000e-11,-2.483454e-07
5.000000e-11,-2.480414e-07
5.020000e-11,-2.480847e-07
5.040000e-11,-2.484793e-07
5.060000e-11,-2.491956e-07
5.080000e-11,-2.501728e-07
5.100000e-11,-2.513229e-07
5.120000e-11,-2.525388e-07
5.140000e-11,-2.537042e-07
5.160000e-11,-2.547048e-07
5.180000e-11,-2.554400e-07
5.200000e-11,-2.558332e-07
5.220000e-11,-2.558401e-07
5.240000e-11,-2.554545e-07
5.260000e-11,-2.547090e-07
5.280000e-11,-2.536735e-07
5.300000e-11,-2.524478e-07
5.320000e-11,-2.511528e-07
5.340000e-11,-2.499179e-07
5.360000e-11,-2.488681e-07
5.380000e-11,-2.481111e-07
5.400000e-11,-2.477259e-07
5.420000e-11,-2.477546e-07
5.440000e-11,-2.481970e-07
5.460000e-11,-2.490109e-07
5.480000e-11,-2.501157e-07
5.500000e-11,-2.514002e-07
5.520000e-11,-2.527341e-07
5.540000e-11,-2.539813e-07
5.560000e-11,-2.550139e-07
5.580000e-11,-2.557254e-07
5.600000e-11,-2.560419e-07
5.620000e-11,-2.559299e-07
5.640000e-11,-2.554003e-07
5.660000e-11,-2.545070e-07
5.680000e-11,-2.533414e-07
5.700000e-11,-2.520237e-07
5.720000e-11,-2.506897e-07
5.740000e-11,-2.494771e-07
5.760000e-11,-2.485112e-07
5.780000e-11,-2.478917e-07
5.800000e-11,-2.476823e-07
5.820000e-11,-2.479040e-07
5.840000e-11,-2.485333e-07
5.860000e-11,-2.495037e-07
5.880000e-11,-2.507138e-07
5.900000e-11,-2.520369e-07
5.920000e-11,-2.533351e-07
5.940000e-11,-2.544732e-07
5.960000e-11,-2.553331e-07
5.980000e-11,-2.558262e-07
6.000000e-11,-2.559024e-07
6.020000e-11,-2.555559e-07
6.040000e-11,-2.548249e-07
6.060000e-11,-2.537881e-07
6.080000e-11,-2.525557e-07
6.100000e-11,-2.512584e-07
6.120000e-11,-2.500327e-07
6.140000e-11,-2.490070e-07
6.160000e-11,-2.482879e-07
6.180000e-11,-2.479488e-07
6.200000e-11,-2.480225e-07
6.220000e-11,-2.484979e-07
6.240000e-11,-2.493216e-07
6.260000e-11,-2.504034e-07
6.280000e-11,-2.516267e-07
6.300000e-11,-2.528605e-07
6.320000e-11,-2.539743e-07
6.340000e-11,-2.548512e-07
6.360000e-11,-2.554007e-07
6.380000e-11,-2.555682e-07
6.400000e-11,-2.553404e-07
6.420000e-11,-2.547462e-07
6.440000e-11,-2.538533e-07
6.460000e-11,-2.527606e-07
6.480000e-11,-2.515870e-07
6.500000e-11,-2.504587e-07
6.520000e-11,-2.494952e-07
6.540000e-11,-2.487970e-07
6.560000e-11,-2.484344e-07
6.580000e-11,-2.484409e-07
6.600000e-11,-2.488099e-07
6.620000e-11,-2.494960e-07
6.640000e-11,-2.504203e-07
6.660000e-11,-2.514799e-07
6.680000e-11,-2.525590e-07
6.700000e-11,-2.535417e-07
6.720000e-11,-2.543248e-07
6.740000e-11,-2.548283e-07
6.760000e-11,-2.550040e-07
6.780000e-11,-2.548397e-07
6.800000e-11,-2.543604e-07
6.820000e-11,-2.536242e-07
6.840000e-11,-2.527158e-07
6.860000e-11,-2.517363e-07
6.880000e-11,-2.507926e-07
6.900000e-11,-2.499847e-07
6.920000e-11,-2.493961e-07
6.940000e-11,-2.490842e-07
6.960000e-11,-2.490755e-07
6.980000e-11,-2.493630e-07
7.000000e-11,-2.499078e-07
7.020000e-11,-2.506447e-07
7.040000e-11,-2.514894e-07
7.060000e-11,-2.523483e-07
7.080000e-11,-2.531290e-07
7.100000e-11,-2.537504e-07
7.120000e-11,-2.541506e-07
7.140000e-11,-2.542938e-07
7.160000e-11,-2.541726e-07
7.180000e-11,-2.538085e-07
7.200000e-11,-2.532482e-07
7.220000e-11,-2.525581e-07
7.240000e-11,-2.518162e-07
